,Unnamed: 0,Unnamed: 0.1,ExpID,DataSetID,wellID,treatment,conc_uM,Medium,plateID,tp,tp.live,measurement,obj,cell_line,mitoT_conc,Plate_type,size,extra_zoom,In_Focuse,id,picture,wellID2,info_for_ws170,channel_mitotracker,grayMitoImages,segmentedMitoImages,clusifiedMitoImages
0,0,262,WS025,WS025_1,B02,DMEM,0.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,132,1,B02_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/B02_1/seq0000xy01c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_B02_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_B02_1_TP.png
1,1,263,WS025,WS025_1,B02,DMEM,0.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,132,2,B02_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/B02_2/seq0000xy02c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_B02_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_B02_2_TP.png
2,2,264,WS025,WS025_1,B03,DMEM,0.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,133,1,B03_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/B03_1/seq0000xy03c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_B03_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_B03_1_TP.png
3,3,265,WS025,WS025_1,B03,DMEM,0.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,133,2,B03_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/B03_2/seq0000xy04c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_B03_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_B03_2_TP.png
4,4,266,WS025,WS025_1,B04,DMEM,0.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,134,1,B04_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/B04_1/seq0000xy05c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_B04_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_B04_1_TP.png
5,5,267,WS025,WS025_1,B04,DMEM,0.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,134,2,B04_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/B04_2/seq0000xy06c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_B04_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_B04_2_TP.png
6,6,268,WS025,WS025_1,B05,DMEM,0.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,135,1,B05_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/B05_1/seq0000xy07c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_B05_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_B05_1_TP.png
7,7,269,WS025,WS025_1,B05,DMEM,0.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,135,2,B05_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/B05_2/seq0000xy08c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_B05_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_B05_2_TP.png
8,8,270,WS025,WS025_1,B06,DMEM,0.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,136,1,B06_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/B06_1/seq0000xy09c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_B06_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_B06_1_TP.png
9,9,271,WS025,WS025_1,B06,DMEM,0.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,136,2,B06_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/B06_2/seq0000xy10c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_B06_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_B06_2_TP.png
10,10,272,WS025,WS025_1,C02,DMSO,0.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,137,1,C02_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/C02_1/seq0000xy19c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_C02_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_C02_1_TP.png
11,11,273,WS025,WS025_1,C02,DMSO,0.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,137,2,C02_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/C02_2/seq0000xy20c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_C02_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_C02_2_TP.png
12,12,274,WS025,WS025_1,C03,DMSO,0.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,138,1,C03_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/C03_1/seq0000xy17c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_C03_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_C03_1_TP.png
13,13,275,WS025,WS025_1,C03,DMSO,0.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,138,2,C03_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/C03_2/seq0000xy18c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_C03_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_C03_2_TP.png
